data downloaded april 25, from https://delphi.cmu.edu/covidcast/indicator/?date=20210419&sensor=fb-survey-smoothed_hh_cmnty_cli and https://delphi.cmu.edu/covidcast/; download from menu covidcast -> explore an indicator; this file is the indicator COVID-Like Symptoms (the value column... and is per 100 individuals ),,,,,,,,
geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
sd,smoothed_cli,3/30/2021,4/4/2021,5,0.9784708,0.3050096,894.6754,state,fb-survey
tn,smoothed_cli,3/30/2021,4/4/2021,5,0.8657143,0.1120209,5303.4058,state,fb-survey
tx,smoothed_cli,3/30/2021,4/4/2021,5,0.7486489,0.0588671,17015.4946,state,fb-survey
ut,smoothed_cli,3/30/2021,4/4/2021,5,0.4911205,0.131423,2243.4106,state,fb-survey
va,smoothed_cli,3/30/2021,4/4/2021,5,0.6908526,0.0873232,7392.8656,state,fb-survey
vt,smoothed_cli,3/30/2021,4/4/2021,5,0.3607591,0.1998359,790.0008,state,fb-survey
wa,smoothed_cli,3/30/2021,4/4/2021,5,0.4338546,0.0684938,6643.9492,state,fb-survey
wi,smoothed_cli,3/30/2021,4/4/2021,5,0.6221495,0.1012401,5185.9957,state,fb-survey
wv,smoothed_cli,3/30/2021,4/4/2021,5,0.756285,0.1754523,1979.1056,state,fb-survey
wy,smoothed_cli,3/30/2021,4/4/2021,5,0.485719,0.271722,596.8467,state,fb-survey
ak,smoothed_cli,3/31/2021,4/5/2021,5,0.6825187,0.262462,757,state,fb-survey
al,smoothed_cli,3/31/2021,4/5/2021,5,0.6296017,0.1194027,3489.1109,state,fb-survey
ar,smoothed_cli,3/31/2021,4/5/2021,5,0.6629162,0.1547236,2337.9042,state,fb-survey
az,smoothed_cli,3/31/2021,4/5/2021,5,0.4615697,0.0861243,4962.0496,state,fb-survey
ca,smoothed_cli,3/31/2021,4/5/2021,5,0.4555086,0.0412515,22046.4256,state,fb-survey
co,smoothed_cli,3/31/2021,4/5/2021,5,0.4689718,0.0838554,4759.7598,state,fb-survey
ct,smoothed_cli,3/31/2021,4/5/2021,5,0.3731542,0.0898326,3608,state,fb-survey
dc,smoothed_cli,3/31/2021,4/5/2021,5,0.6760729,0.3510576,405,state,fb-survey
de,smoothed_cli,3/31/2021,4/5/2021,5,0.6171622,0.2165547,1086,state,fb-survey
fl,smoothed_cli,3/31/2021,4/5/2021,5,0.647574,0.0558079,16683.9989,state,fb-survey
ga,smoothed_cli,3/31/2021,4/5/2021,5,0.7490076,0.101552,5950.9292,state,fb-survey
hi,smoothed_cli,3/31/2021,4/5/2021,5,0.5637484,0.2113943,1068,state,fb-survey
ia,smoothed_cli,3/31/2021,4/5/2021,5,0.9844593,0.1520575,3598.6913,state,fb-survey
id,smoothed_cli,3/31/2021,4/5/2021,5,0.7980036,0.1782979,1871.9849,state,fb-survey
il,smoothed_cli,3/31/2021,4/5/2021,5,0.5600309,0.066625,10426.0005,state,fb-survey
in,smoothed_cli,3/31/2021,4/5/2021,5,0.853943,0.109179,5507.0118,state,fb-survey
ks,smoothed_cli,3/31/2021,4/5/2021,5,0.5920781,0.1338823,2678.0024,state,fb-survey
ky,smoothed_cli,3/31/2021,4/5/2021,5,0.6546482,0.1192367,3713.6553,state,fb-survey
la,smoothed_cli,3/31/2021,4/5/2021,5,0.9451513,0.1536298,3395.3686,state,fb-survey
ma,smoothed_cli,3/31/2021,4/5/2021,5,0.593292,0.103161,4699.013,state,fb-survey
md,smoothed_cli,3/31/2021,4/5/2021,5,0.5605949,0.1056116,4121.9985,state,fb-survey
me,smoothed_cli,3/31/2021,4/5/2021,5,0.6373856,0.1627174,1864.2234,state,fb-survey
mi,smoothed_cli,3/31/2021,4/5/2021,5,1.1514038,0.0887578,12209.0002,state,fb-survey
mn,smoothed_cli,3/31/2021,4/5/2021,5,0.4910019,0.097855,4205.5106,state,fb-survey
mo,smoothed_cli,3/31/2021,4/5/2021,5,0.5777686,0.0961182,4553.7281,state,fb-survey
ms,smoothed_cli,3/31/2021,4/5/2021,5,0.5932504,0.158481,2238.3489,state,fb-survey
mt,smoothed_cli,3/31/2021,4/5/2021,5,0.6076515,0.2061985,1287.4806,state,fb-survey
nc,smoothed_cli,3/31/2021,4/5/2021,5,0.5910957,0.0766742,7804.0104,state,fb-survey
nd,smoothed_cli,3/31/2021,4/5/2021,5,1.1878418,0.3843342,701.8411,state,fb-survey
ne,smoothed_cli,3/31/2021,4/5/2021,5,1.0257757,0.2183615,1828.0834,state,fb-survey
nh,smoothed_cli,3/31/2021,4/5/2021,5,0.6422921,0.1805701,1608.7766,state,fb-survey
nj,smoothed_cli,3/31/2021,4/5/2021,5,0.8038663,0.1050439,6100.9976,state,fb-survey
